"TANDIL BACKEND — API INDEX (each row = one unique API: METHOD + path; duplicates from Postman removed)",,,,,,,
,,,,,,,
"HOW TO USE THIS FILE",,,,,,,
"Sort or filter by column ""Audience"" for Client, Admin, Supervisor, etc. Use ""Postman root folder"" to jump to the same top folder in Postman.",,,,,,,
,,,,,,,
"WHERE EACH USER TYPE STARTS IN POSTMAN (folder numbers match tandil_backend.json)",,,,,,,
"Shared / entry","Folder ""1. Health Check - START HERE"" (health check first; wallet summaries listed here are shared across roles).",,,,,,,
"All roles","Folder ""2. Authentication"" (register, login, password, email verification).",,,,,,,
Client,"Folders ""3."" through ""8."" (profile, subscriptions, banners, visits, reports, shop & orders; payments under ""8."").",,,,,,,
Technician,"Folder ""9. Technician Dashboard – All APIs"".",,,,,,,
Supervisor,"Folder ""10. Supervisor Dashboard – All APIs"".",,,,,,,
"Area Manager","Folder ""11. Area Manager Dashboard – All APIs"".",,,,,,,
"HR Manager","Folder ""12. HR Manager Dashboard – All APIs"".",,,,,,,
Admin,"Folders ""13."" through ""16."" (stats & users, reports, support tickets, settings).",,,,,,,
"Cross-role / other","Folder ""17. Other Modules"" (e.g. notifications hub, shared utilities).",,,,,,,
,,,,,,,
"Sr. No.",Audience,"Postman root folder",Name,"Module (full path in Postman)",Methods,Endpoint,Status
50,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Get Details","8. Client Dashboard – Shop & Orders > D. My orders (shop prefix)",GET,/api/shop/orders/{{order_id}},Active
51,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Mark Paid","8. Client Dashboard – Shop & Orders > D. My orders (shop prefix)",POST,/api/shop/orders/{{order_id}}/mark-paid,Active
52,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - List (Alternative Route)","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",GET,/api/orders,Active
53,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Cancelled List","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",GET,/api/orders/cancelled,Active
54,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Get Details (Alternative Route)","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",GET,/api/orders/{{order_id}},Active
55,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Track","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",GET,/api/orders/{{order_id}}/track,Active
56,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Cancel Track","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",GET,/api/orders/{{order_id}}/cancel-track,Active
57,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Cancel","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",POST,/api/orders/{{order_id}}/cancel,Active
58,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Update","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",PUT,/api/orders/{{order_id}},Active
59,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Rate","8. Client Dashboard – Shop & Orders > E. My orders (app routes — track / cancel)",POST,/api/orders/{{order_id}}/rate,Active
60,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Guest Lookup","8. Client Dashboard – Shop & Orders > F. Guest orders (no token)",GET,/api/shop/orders/guest,Active
61,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Orders - Guest Track","8. Client Dashboard – Shop & Orders > F. Guest orders (no token)",GET,/api/shop/orders/guest/track,Active
62,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Categories - List (Public)","8. Client Dashboard – Shop & Orders > G. Shop catalog (public)",GET,/api/shop/categories,Active
63,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Categories - Get Details (Public)","8. Client Dashboard – Shop & Orders > G. Shop catalog (public)",GET,/api/shop/categories/{{category_id}},Active
64,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Payments - List","8. Client Dashboard – Shop & Orders > H. My payments & transactions",GET,/api/shop/payments,Active
65,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Payments - Get Details","8. Client Dashboard – Shop & Orders > H. My payments & transactions",GET,/api/shop/payments/{{payment_id}},Active
66,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Transactions - List (Alias)","8. Client Dashboard – Shop & Orders > H. My payments & transactions",GET,/api/shop/transactions,Active
67,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","Transactions - Get Details (Alias)","8. Client Dashboard – Shop & Orders > H. My payments & transactions",GET,/api/shop/transactions/{{payment_id}},Active
68,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","1. GET Payment gateways (public — no token)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",GET,/api/shop/payment-gateways,Active
69,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","2. GET Payment methods (client — Bearer token)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",GET,/api/shop/checkout/payment-methods,Active
70,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","2b. GET Refund policy (public — no token)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",GET,/api/shop/refund-policy,Active
71,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","3. POST Start checkout — Stripe (logged-in)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",POST,/api/shop/checkout/start,Active
72,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","5. POST PayPal capture","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",POST,/api/shop/paypal/capture,Active
73,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","6. POST Stripe webhook (reference only)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",POST,/api/shop/webhooks/stripe,Active
74,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","7. POST Stripe PaymentIntent (mobile — Payment Sheet)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",POST,/api/shop/checkout/stripe/payment-intent,Active
75,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","8. POST Checkout confirm (mobile — after Payment Sheet)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",POST,/api/shop/checkout/confirm,Active
76,"Client — folders 3–8 in Postman (profile → shop)","8. Client Dashboard – Shop & Orders","9. POST Stripe webhook (alias — /shop/stripe/webhook)","8. Client Dashboard – Shop & Orders > I. Shop – Payments (Stripe & PayPal only)",POST,/api/shop/stripe/webhook,Active
,"--- Technician — folder 9 ---",,,,,,
77,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Dashboard","9. Technician Dashboard – All APIs > A. Dashboard",GET,/api/technician/dashboard,Active
78,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Profile","9. Technician Dashboard – All APIs > B. Profile",GET,/api/technician/profile,Active
