SNo,Module,Method,Endpoint,Status
443,D. Tips,GET,/api/tips/{id},Done
444,D. Tips,PUT,/api/tips/{id},Done
445,D. Tips,DELETE,/api/tips/{id},Done
446,E. Notifications,GET,/api/notifications,Done
447,E. Notifications,POST,/api/notifications/{id}/mark-read,Done
448,E. Notifications,POST,/api/notifications/mark-all-read,Done
449,E. Notifications,DELETE,/api/notifications/{id},Done
450,E. Notifications,POST,/api/notifications/clear-all,Done
451,F. Admin - Categories,GET,/api/admin/categories,Done
452,F. Admin - Categories,POST,/api/admin/categories,Done
453,F. Admin - Categories,GET,/api/admin/categories/{id},Done
454,F. Admin - Categories,POST,/api/admin/categories/{id},Done
455,F. Admin - Categories,POST,/api/admin/categories/{id}/toggle-status,Done
456,F. Admin - Categories,DELETE,/api/admin/categories/{id},Done
457,A. Vendor Types,GET,/api/admin/vendor-types,Done
458,A. Vendor Types,POST,/api/admin/vendor-types,Done
459,A. Vendor Types,GET,/api/admin/vendor-types/{id},Done
460,A. Vendor Types,POST,/api/admin/vendor-types/{id},Done
461,A. Vendor Types,POST,/api/admin/vendor-types/{id}/toggle-status,Done
462,A. Vendor Types,DELETE,/api/admin/vendor-types/{id},Done
463,B. Emirates,GET,/api/admin/emirates,Done
464,B. Emirates,POST,/api/admin/emirates,Done
465,B. Emirates,GET,/api/admin/emirates/{id},Done
466,B. Emirates,POST,/api/admin/emirates/{id},Done
467,B. Emirates,POST,/api/admin/emirates/{id}/toggle-status,Done
468,B. Emirates,DELETE,/api/admin/emirates/{id},Done
469,G. Admin - Services,GET,/api/admin/services,Done
470,G. Admin - Services,POST,/api/admin/services,Done
471,G. Admin - Services,GET,/api/admin/services/{id},Done
472,G. Admin - Services,POST,/api/admin/services/{id},Done
473,G. Admin - Services,POST,/api/admin/services/{id}/toggle-status,Done
474,G. Admin - Services,DELETE,/api/admin/services/{id},Done
475,H. Admin - Areas (Zones),GET,/api/admin/areas,Done
476,H. Admin - Areas (Zones),GET,/api/admin/operational-areas,Done
477,H. Admin - Areas (Zones),POST,/api/admin/operational-areas/{id}/toggle-active,Done
478,H. Admin - Areas (Zones),GET,/api/admin/technicians,Done
479,H. Admin - Areas (Zones),GET,/api/admin/technicians-for-zones,Done
480,H. Admin - Areas (Zones),GET,/api/admin/supervisors-for-zones,Done
481,H. Admin - Areas (Zones),GET,/api/admin/supervisors,Done
482,H. Admin - Areas (Zones),GET,/api/admin/supervisors/{id}/team,Done
483,H. Admin - Areas (Zones),POST,/api/admin/supervisors/{id}/team,Done
484,H. Admin - Areas (Zones),DELETE,/api/admin/supervisors/{id}/team,Done
485,H. Admin - Areas (Zones),POST,/api/admin/areas,Done
486,H. Admin - Areas (Zones),GET,/api/admin/areas/{id},Done
487,H. Admin - Areas (Zones),POST,/api/admin/areas/{id},Done
488,H. Admin - Areas (Zones),DELETE,/api/admin/areas/{id},Done
489,I. Alternative Routes - Technician (under /api/auth/tech),GET,/api/auth/tech/visits,Done
490,I. Alternative Routes - Technician (under /api/auth/tech),POST,/api/auth/tech/visits/{id}/accept,Done
491,I. Alternative Routes - Technician (under /api/auth/tech),POST,/api/auth/tech/visits/{id}/start,Done
492,I. Alternative Routes - Technician (under /api/auth/tech),POST,/api/auth/tech/visits/{id}/complete,Done
493,J. Alternative Routes - Supervisor (under /api/auth/supervisor),GET,/api/auth/supervisor/visits,Done
494,J. Alternative Routes - Supervisor (under /api/auth/supervisor),GET,/api/auth/supervisor/visits/{id},Done
495,J. Alternative Routes - Supervisor (under /api/auth/supervisor),POST,/api/auth/supervisor/visits/{id}/recommend,Done
496,J. Alternative Routes - Supervisor (under /api/auth/supervisor),POST,/api/auth/supervisor/visits/{id}/finalize,Done
497,J. Alternative Routes - Supervisor (under /api/auth/supervisor),POST,/api/auth/supervisor/visits/{id}/status,Done
498,J. Alternative Routes - Supervisor (under /api/auth/supervisor),GET,/api/auth/supervisor/areas,Done
499,J. Alternative Routes - Supervisor (under /api/auth/supervisor),GET,/api/auth/supervisor/complaints,Done
500,J. Alternative Routes - Supervisor (under /api/auth/supervisor),POST,/api/auth/supervisor/complaints/{id}/escalate,Done
501,K. Services (Public),GET,/api/services,Done
502,K. Services (Public),GET,/api/services/{id},Done
503,K. Services (Public),GET,/api/services/products,Done
504,K. Services (Public),GET,/api/services/{id}/products,Done
505,K. Services (Public),GET,/api/services/categories,Done
506,K. Services (Public),GET,/api/services/category/{id},Done
507,L. User Profile,PUT,/api/user/profile,Done
508,M. User Addresses,POST,/api/user/addresses/{id},Done
509,O. User Notifications,POST,/api/user/notifications/{id}/read,Done
510,O. User Notifications,POST,/api/user/notifications/read-all,Done
511,A. Business Profile,GET,/api/vendor/profile,Done
512,A. Business Profile,POST,/api/vendor/profile,Done
513,B. Application & Onboarding,GET,/api/vendor/application,Done
514,B. Application & Onboarding,POST,/api/vendor/application/submit,Done
515,B. Application & Onboarding,POST,/api/vendor/application/resubmit,Done
516,C. Documents,GET,/api/vendor/documents,Done
517,C. Documents,POST,/api/vendor/documents,Done
518,C. Documents,DELETE,/api/vendor/documents/{id},Done
519,D. Dashboard (approved only),GET,/api/vendor/dashboard/stats,Done
520,D. Dashboard (approved only),GET,/api/vendor/dashboard/summary,Done
521,E. Performance Analytics (approved only),GET,/api/vendor/analytics/performance,Done
522,E. Performance Analytics (approved only),GET,/api/vendor/analytics/performance/export,Done
523,E. Performance Analytics (approved only),POST,/api/vendor/analytics/performance/share,Done
524,F. Support & Live Chat,GET,/api/vendor/support/chat,Done
525,F. Support & Live Chat,GET,/api/vendor/support/chat/messages,Done
526,F. Support & Live Chat,POST,/api/vendor/support/chat/messages,Done
527,G. Add Product – Dropdown options,GET,/api/vendor/product-options/categories,Done
528,G. Add Product – Dropdown options,GET,/api/vendor/product-options/services,Done
529,G. Add Product – Dropdown options,GET,/api/vendor/products,Done
530,H. Categories (approved only – read-only),GET,/api/vendor/categories,Done
531,H. Categories (approved only – read-only),GET,/api/vendor/categories/{id},Done
532,H. Categories (approved only – read-only),POST,/api/vendor/categories,Done
533,I. Services (approved only – read-only),GET,/api/vendor/services,Done
534,I. Services (approved only – read-only),GET,/api/vendor/services/{id},Done
535,I. Services (approved only – read-only),POST,/api/vendor/services,Done
536,J. Products (approved only),POST,/api/vendor/products,Done
537,J. Products (approved only),GET,/api/vendor/products/{id},Done
538,J. Products (approved only),POST,/api/vendor/products/{id},Done
539,J. Products (approved only),DELETE,/api/vendor/products/{id},Done
540,K. Inventory (approved only),GET,/api/vendor/inventory/{id},Done
541,K. Inventory (approved only),POST,/api/vendor/inventory/{id},Done
542,L. Orders (approved only),GET,/api/vendor/orders,Done
543,L. Orders (approved only),GET,/api/vendor/orders/{id},Done
544,L. Orders (approved only),GET,/api/vendor/orders/{id}/contact,Done
545,L. Orders (approved only),GET,/api/vendor/orders/{id}/invoice,Done
546,L. Orders (approved only),GET,/api/vendor/orders/{id}/download,Done
547,L. Orders (approved only),POST,/api/vendor/orders/{id}/status,Done
548,M. Compare vendors & prices (public),GET,/api/shop/products/{id}/compare-vendors,Done
549,M. Compare vendors & prices (public),GET,/api/vendor/compare/products/{id},Done
550,M. Compare vendors & prices (public),POST,/api/vendor/compare/products,Done
551,A. Vendor Management (Mobile),GET,/api/admin/vendors/management,Done
552,A. Vendor Management (Mobile),GET,/api/admin/vendors/{id}/management,Done
553,A. Vendor Management (Mobile),POST,/api/admin/vendors/{id}/products/{id}/toggle,Done
554,A. Vendor Management (Mobile),DELETE,/api/admin/vendors/{id}/products/{id},Done
555,A. Vendor Management (Mobile),POST,/api/admin/vendors/{id}/account-status,Done
556,B. Vendor Approval & Actions,GET,/api/admin/vendors/stats,Done
557,B. Vendor Approval & Actions,GET,/api/admin/vendors/recent-requests,Done
558,B. Vendor Approval & Actions,GET,/api/admin/vendors,Done
559,B. Vendor Approval & Actions,GET,/api/admin/vendors/{id}/application-detail,Done
560,B. Vendor Approval & Actions,GET,/api/admin/vendors/{id},Done
561,B. Vendor Approval & Actions,GET,/api/admin/vendors/{id}/analytics,Done
562,B. Vendor Approval & Actions,GET,/api/admin/vendors/{id}/products,Done
563,B. Vendor Approval & Actions,GET,/api/admin/vendors/{id}/orders,Done
564,B. Vendor Approval & Actions,POST,/api/admin/vendors,Done
565,B. Vendor Approval & Actions,POST,/api/admin/vendors/{id},Done
566,B. Vendor Approval & Actions,POST,/api/admin/vendors/{id}/approve,Done
567,B. Vendor Approval & Actions,POST,/api/admin/vendors/{id}/reject,Done
568,B. Vendor Approval & Actions,POST,/api/admin/vendors/{id}/under-review,Done
569,B. Vendor Approval & Actions,POST,/api/admin/vendors/{id}/disable,Done
570,B. Vendor Approval & Actions,DELETE,/api/admin/vendors/{id},Done
571,O. Admin – Marketplace,GET,/api/admin/marketplace/analytics,Done
572,O. Admin – Marketplace,GET,/api/admin/marketplace/settings,Done
573,O. Admin – Marketplace,PUT,/api/admin/marketplace/settings,Done
574,O. Admin – Marketplace,GET,/api/admin/marketplace/products,Done
575,O. Admin – Marketplace,POST,/api/admin/marketplace/products/{id}/approve,Done
576,O. Admin – Marketplace,POST,/api/admin/marketplace/products/{id}/reject,Done
577,O. Admin – Marketplace,GET,/api/admin/marketplace/orders,Done
578,O. Admin – Marketplace,POST,/api/admin/marketplace/documents/{id}/verify,Done
579,P. Vendor Store (client public),GET,/api/shop/vendors/{id},Done
580,Q. Legal & Contact,GET,/api/vendor/contact-us,Done
581,Q. Legal & Contact,GET,/api/vendor/terms-and-conditions,Done
582,Q. Legal & Contact,GET,/api/vendor/privacy-policy,Done
583,R. Notifications,POST,/api/vendor/notifications/mark-all-read,Done
584,R. Notifications,DELETE,/api/vendor/notifications/{id},Done
585,Dashboard Alerts,GET,/api/hr/dashboard/alerts,Pending
586,Profile - Update,POST,/api/hr/profile,Pending
587,Analytics,GET,/api/hr/analytics,Pending
